Name,ID,Subname,Description,Link,Image
Metal Plate,449,It itches...,Adds a chance to reflect enemy shots. Grants one soul heart.,https://bindingofisaacrebirth.gamepedia.com/Metal_Plate,../assets/images/449.png
Eye of Greed,450,Gold tears!,Adds a chance to fire tears that temporarily stun enemies and turn them into gold. Any enemy killed while in this state will drop coins.,https://bindingofisaacrebirth.gamepedia.com/Eye_of_Greed,../assets/images/450.png
Tarot Cloth,451,I see the future,Drops a random card or rune. Doubles the effects of cards and runes.,https://bindingofisaacrebirth.gamepedia.com/Tarot_Cloth,../assets/images/451.png
Varicose Veins,452,I'm leaking...,Taking damage releases a ring of 10 high damage tears.,https://bindingofisaacrebirth.gamepedia.com/Varicose_Veins,../assets/images/452.png
Compound Fracture,453,Bone tears!,"Increases range. Tears turn into bones, which shatter into 1-3 bone shards upon hitting an enemy or obstacle.",https://bindingofisaacrebirth.gamepedia.com/Compound_Fracture,../assets/images/453.png
Polydactyly,454,Hold me!,"Allows Isaac to carry two cards, pills, or any combination of both at the same time. Drops a random card or pill.",https://bindingofisaacrebirth.gamepedia.com/Polydactyly,../assets/images/454.png
Dad's Lost Coin,455,I remember this...,Increases range by 1.5. Drops a lucky penny.,https://bindingofisaacrebirth.gamepedia.com/Dad%27s_Lost_Coin,../assets/images/455.png
Moldy Bread,456,Midnight snack!,Grants one full red heart container.,https://bindingofisaacrebirth.gamepedia.com/Moldy_Bread,../assets/images/456.png
Cone Head,457,Hard headed!,Grants a soul heart. Adds a chance to block enemy shots.,https://bindingofisaacrebirth.gamepedia.com/Cone_Head,../assets/images/457.png
Belly Button,458,What's in there?,Drops a random trinket. Grants a second trinket slot.,https://bindingofisaacrebirth.gamepedia.com/Belly_Button,../assets/images/458.png
Sinus Infection,459,Booger tears!,Adds a chance to fire a booger which sticks to enemies and poisons them.,https://bindingofisaacrebirth.gamepedia.com/Sinus_Infection,../assets/images/459.png
Glaucoma,460,Blind tears!,"Adds a chance to shoot concussive tears, causing enemies to walk around randomly.",https://bindingofisaacrebirth.gamepedia.com/Glaucoma,../assets/images/460.png
Parasitoid,461,Egg tears!,Adds a chance to fire an egg sack which spawns slowing creep and spawns a blue fly or spider upon hitting an enemy.,https://bindingofisaacrebirth.gamepedia.com/Parasitoid,../assets/images/461.png
Eye of Belial,462,Possessed tears!,"Grants piercing tears. After piercing one enemy, tears start homing and deal double damage.",https://bindingofisaacrebirth.gamepedia.com/Eye_of_Belial,../assets/images/462.png
Sulfuric Acid,463,Acid tears!,Increases damage. Adds a chance to fire acidic tears which can destroy obstacles.,https://bindingofisaacrebirth.gamepedia.com/Sulfuric_Acid,../assets/images/463.png
Glyph of Balance,464,A gift from above,Grants 2 soul hearts and modifies drops from Champion Monsters based on certain conditions.,https://bindingofisaacrebirth.gamepedia.com/Glyph_of_Balance,../assets/images/464.png
Analog Stick,465,360 tears!,+0.3 tears up. Allows Isaac to fire tears diagonally.,https://bindingofisaacrebirth.gamepedia.com/Analog_Stick,../assets/images/465.png
Contagion,466,Outbreak!,The first enemy killed in a room explodes and poisons nearby enemies. Poisoned enemies will also explode upon death.,https://bindingofisaacrebirth.gamepedia.com/Contagion,../assets/images/466.png
Finger!,467,Watch where you point that!,"Spawns a finger familiar that points at enemies, dealing constant damage.",https://bindingofisaacrebirth.gamepedia.com/Finger!,../assets/images/467.png
Shade,468,It follows,Spawns a shadow familiar that follows Isaac's movements on a 1 second delay and deals contact damage to enemies.,https://bindingofisaacrebirth.gamepedia.com/Shade,../assets/images/468.png
Depression,469,:(,Spawns a cloud familiar that leaves a trail of tears that damages enemies. Has a chance to spawn damaging beams of light onto enemies that touch the cloud.,https://bindingofisaacrebirth.gamepedia.com/Depression,../assets/images/469.png
Hushy,470,Lil hush!,"Spawns a Hush familiar that bounces around the room and deals contact damage. While firing tears, it stops moving.",https://bindingofisaacrebirth.gamepedia.com/Hushy,../assets/images/470.png
Lil Monstro,471,Ain't he cute?,Spawns a familiar that fires clusters of tears. Must be charged before shooting.,https://bindingofisaacrebirth.gamepedia.com/Lil_Monstro,../assets/images/471.png
King Baby,472,Lord of the dead!,"Spawns a familiar that follows Isaac and makes other familiars follow it. While firing tears, it stops moving.",https://bindingofisaacrebirth.gamepedia.com/King_Baby,../assets/images/472.png
Big Chubby,473,Chub chub,Spawns a familiar that slowly charges forward and damages enemies in its path.,https://bindingofisaacrebirth.gamepedia.com/Big_Chubby,../assets/images/473.png
Tonsil,474,Gross...,Grants a familiar that can block enemy shots.,https://bindingofisaacrebirth.gamepedia.com/Tonsil,../assets/images/474.png
Plan C,475,Use with caution,"Kills all enemies in the room, then kills Isaac three seconds later.",https://bindingofisaacrebirth.gamepedia.com/Plan_C,../assets/images/475.png
D1,476,What will it be?,Duplicates a random pickup in the room.,https://bindingofisaacrebirth.gamepedia.com/D1,../assets/images/476.png
Void,477,Consume,"Consumes all pedestal items in the room. Active items will have their effects added to Void, and passive items will grant stat upgrades.",https://bindingofisaacrebirth.gamepedia.com/Void,../assets/images/477.png
Pause,478,Stop!,Freezes all enemies until a fire button is pressed.,https://bindingofisaacrebirth.gamepedia.com/Pause,../assets/images/478.png
Smelter,479,Trinket melter!,Consumes Isaac's currently held trinket and applies its effect permanently.,https://bindingofisaacrebirth.gamepedia.com/Smelter,../assets/images/479.png
Compost,480,Gain more friends!,Spawns a blue spider or fly. Turns pickups in the room into blue spiders or flies.,https://bindingofisaacrebirth.gamepedia.com/Compost,../assets/images/480.png
Dataminer,481,109,"Displaces enemy sprites for the current room, randomly increases one stat and decreases another.",https://bindingofisaacrebirth.gamepedia.com/Dataminer,../assets/images/481.png
Clicker,482,Change,Transforms Isaac into another random character.,https://bindingofisaacrebirth.gamepedia.com/Clicker,../assets/images/482.png
Mama Mega!,483,BOOOOOOOOOM!,Damages all enemies and destroys all obstacles. The effect occurs every time a new room is entered for the rest of the floor. Opens doors to the floor's secret and super secret rooms.,https://bindingofisaacrebirth.gamepedia.com/Mama_Mega!,../assets/images/483.png
Wait What?,484,I can't believe it's not Butter Bean!,"Isaac farts, sending out rock waves.",https://bindingofisaacrebirth.gamepedia.com/Wait_What%3F,../assets/images/484.png
Crooked Penny,485,50/50,"Spawns a penny and has a 50% chance to double all items and pickups in the room. If the effect fails, the items and pickups disappear.",https://bindingofisaacrebirth.gamepedia.com/Crooked_Penny,../assets/images/485.png
Dull Razor,486,I feel numb...,"Hurts Isaac without depleting health, activating any items that trigger upon taking damage.",https://bindingofisaacrebirth.gamepedia.com/Dull_Razor,../assets/images/486.png
Potato Peeler,487,A pound of flesh,"Removes a heart container, increases damage and range, and grants a Cube of Meat.",https://bindingofisaacrebirth.gamepedia.com/Potato_Peeler,../assets/images/487.png
Metronome,488,Waggles a finger,Grants a random item effect for the current room.,https://bindingofisaacrebirth.gamepedia.com/Metronome,../assets/images/488.png
D Infinity,489,Reroll forever,Grants a random dice item that changes each use.,https://bindingofisaacrebirth.gamepedia.com/D_Infinity,../assets/images/489.png
Eden's Soul,490,...,Spawns two item pedestals.,https://bindingofisaacrebirth.gamepedia.com/Eden%27s_Soul,../assets/images/490.png
Acid Baby,491,Pills pills pills!,"Spawns a familiar that drops random pills every 3 rooms cleared. Upon using a pill, all enemies in the room are poisoned.",https://bindingofisaacrebirth.gamepedia.com/Acid_Baby,../assets/images/491.png
YO LISTEN!,492,Yo listen!,+1 luck. Spawns a fairy familiar that points out secret room entrances and tinted rocks.,https://bindingofisaacrebirth.gamepedia.com/YO_LISTEN!,../assets/images/492.png
Adrenaline,493,Panic = power,Increases damage based on how many empty heart containers Isaac has.,https://bindingofisaacrebirth.gamepedia.com/Adrenaline,../assets/images/493.png
Jacob's Ladder,494,Electric tears,Tears fire sparks of electricity in random directions upon hitting an obstacle or enemy.,https://bindingofisaacrebirth.gamepedia.com/Jacob%27s_Ladder,../assets/images/494.png
Ghost Pepper,495,Flame tears,Adds a chance to shoot a fire that damages enemies and remains in place until it deals enough damage or the room is left.,https://bindingofisaacrebirth.gamepedia.com/Ghost_Pepper,../assets/images/495.png
Euthanasia,496,Needle shot,"Adds a chance to fire needles. If a needle kills an enemy, it bursts into more needles.",https://bindingofisaacrebirth.gamepedia.com/Euthanasia,../assets/images/496.png
Camo Undies,497,Camo kid,Isaac becomes camouflaged at the beginning of each room. Enemies will not attack Isaac until he starts firing tears.,https://bindingofisaacrebirth.gamepedia.com/Camo_Undies,../assets/images/497.png
Duality,498,You feel very balanced,"Whenever a Devil or Angel Room would spawn after defeating a boss, both rooms spawn. Only one can be entered.",https://bindingofisaacrebirth.gamepedia.com/Duality,../assets/images/498.png
Eucharist,499,Peace be with you,"An Angel Room door will always spawn after every boss fight, excluding the first floor and floors after Utero II/Womb II.",https://bindingofisaacrebirth.gamepedia.com/Eucharist,../assets/images/499.png
Sack of Sacks,500,Gives sacks,Spawns a sack familiar that drops a sack upon clearing 5-6 rooms.,https://bindingofisaacrebirth.gamepedia.com/Sack_of_Sacks,../assets/images/500.png
Greed's Gullet,501,Money = health!,Grants a heart container for every 25 coins Isaac has.,https://bindingofisaacrebirth.gamepedia.com/Greed%27s_Gullet,../assets/images/501.png
Large Zit,502,Creep shots,Adds a chance to fire a creep shot that deals double damage and leaves a trail of slowing white creep.,https://bindingofisaacrebirth.gamepedia.com/Large_Zit,../assets/images/502.png
Little Horn,503,Science!,Adds a chance to fire a piercing tear that instantly kills any enemy that it touches.,https://bindingofisaacrebirth.gamepedia.com/Little_Horn_(Item),../assets/images/503.png
Brown Nugget,504,Friendly fly,Spawns a stationary fly familiar that fires tears at nearby enemies.,https://bindingofisaacrebirth.gamepedia.com/Brown_Nugget,../assets/images/504.png
Poke Go,505,Gotta catch em...,"Upon entering a room with enemies in it, has a chance to spawn a random friendly enemy that persists across rooms.",https://bindingofisaacrebirth.gamepedia.com/Poke_Go,../assets/images/505.png
Backstabber,506,Watch your back!,"Has a chance to fire tears that inflict bleeding on enemies, causing them to slowly take damage over time.",https://bindingofisaacrebirth.gamepedia.com/Backstabber,../assets/images/506.png
Sharp Straw,507,More blood!,Damages all enemies in the room.,https://bindingofisaacrebirth.gamepedia.com/Sharp_Straw,../assets/images/507.png
Mom's Razor,508,It's sharp!,"Spawns an orbiting razor that damages enemies it touches and inflicts bleeding on enemies, causing them to slowly take damage over time.",https://bindingofisaacrebirth.gamepedia.com/Mom%27s_Razor,../assets/images/508.png
Bloodshot Eye,509,Bloody friend,Spawns an orbiting eye familiar that fires tears every 2 seconds.,https://bindingofisaacrebirth.gamepedia.com/Bloodshot_Eye,../assets/images/509.png
Delirious,510,Unleash the power!,Spawns a random charmed boss.,https://bindingofisaacrebirth.gamepedia.com/Delirious,../assets/images/510.png
Angry Fly,511,He's violent,Spawns a fly familiar that orbits around a random enemy and deals 5 damage per tick to enemies it comes in contact with.,https://bindingofisaacrebirth.gamepedia.com/Angry_Fly,../assets/images/511.png
Black Hole,512,Nothing can escape,Throws a black hole on the ground which sucks in and damages enemies.,https://bindingofisaacrebirth.gamepedia.com/Black_Hole,../assets/images/512.png
Bozo,513,Party time!,Increases damage by a flat 0.1 and grants a soul heart. Enemies can randomly become briefly charmed or feared. Taking damage has a chance to spawn a rainbow poop.,https://bindingofisaacrebirth.gamepedia.com/Bozo,../assets/images/513.png
Broken Modem,514,Lag!,"Enemies, enemy shots, tears, and pickups will briefly freeze in place at random intervals.",https://bindingofisaacrebirth.gamepedia.com/Broken_Modem,../assets/images/514.png
Mystery Gift,515,Wrapped up nice for you!,"Upon use, spawns a random item from the current room's item pool, with a chance to spawn A Lump of Coal or The Poop instead.",https://bindingofisaacrebirth.gamepedia.com/Mystery_Gift,../assets/images/515.png
Sprinkler,516,Sprinkles.,"Upon use, spawns a sprinkler that rotates and fires tears.",https://bindingofisaacrebirth.gamepedia.com/Sprinkler,../assets/images/516.png
Fast Bombs,517,Rapid bomb drops,Grants 7 bombs and allows bombs to be placed rapidly.,https://bindingofisaacrebirth.gamepedia.com/Fast_Bombs,../assets/images/517.png
Buddy in a Box,518,What could it be?!,Grants a familiar with a random tear effect. The familiar is randomized at the start of each floor.,https://bindingofisaacrebirth.gamepedia.com/Buddy_in_a_Box,../assets/images/518.png
Lil Delirium,519,Delirious friend,Grants a familiar that transforms into another random familiar every 10 seconds.,https://bindingofisaacrebirth.gamepedia.com/Lil_Delirium,../assets/images/519.png
Jumper Cables,520,Bloody recharge,Grants an active item charge every 15 enemies killed.,https://bindingofisaacrebirth.gamepedia.com/Jumper_Cables,../assets/images/520.png
Coupon,521,Allow 6 weeks for delivery,"Upon use, makes a random item from a shop, devil deal, or black market free.",https://bindingofisaacrebirth.gamepedia.com/Coupon,../assets/images/521.png
Telekinesis,522,Power of the mind,"Upon use, for the next two seconds, any enemy shots that come near Isaac are held in place. After the charge is depleted, they are fired back as tears.",https://bindingofisaacrebirth.gamepedia.com/Telekinesis,../assets/images/522.png
Moving Box,523,Pack and unpack,"If the box is empty, picks up all items and pickups in a room and stores them. If the box is not empty, places all stored items and pickups in the current room.",https://bindingofisaacrebirth.gamepedia.com/Moving_Box,../assets/images/523.png
Technology Zero,524,Static tears!,Connects Isaac's tears with electricity that can damage enemies.,https://bindingofisaacrebirth.gamepedia.com/Technology_Zero,../assets/images/524.png
Leprosy,525,You're tearing me apart!,"Upon taking damage, grants a body part as an orbital, which blocks enemy shots and deals 7 damage per tick to enemies it comes in contact with. The orbitals will be destroyed if they take enough damage from enemies or enemy shots.",https://bindingofisaacrebirth.gamepedia.com/Leprosy,../assets/images/525.png
7 Seals,526,Lil harbingers!,Grants a random Harbinger familiar that changes every 10 seconds.,https://bindingofisaacrebirth.gamepedia.com/7_Seals,../assets/images/526.png
Mr. ME!,527,Caaan do!,Summons a controllable ghost that can perform various tasks depending on what it targets.,https://bindingofisaacrebirth.gamepedia.com/Mr._ME!,../assets/images/527.png
Angelic Prism,528,Eclipsed by the moon,Grants a prism orbital with a large orbital radius. Tears that pass through the prism split into four multi-colored tears.,https://bindingofisaacrebirth.gamepedia.com/Angelic_Prism,../assets/images/528.png
Pop!,529,Eyeball tears!,"Replaces Isaac's tears with eyeballs that can bounce off of each other. The eyeballs are not limited by range, and will instead dissipate when they stop moving or when hitting an enemy or obstacle.",https://bindingofisaacrebirth.gamepedia.com/Pop!,../assets/images/529.png
Death's List,530,Just hope you're not next...,Grants a reward if all enemies in a room are killed in the order they are marked.,https://bindingofisaacrebirth.gamepedia.com/Death%27s_List,../assets/images/530.png
Haemolacria,531,I'm seeing red...,"Tears are now fired in an arc. Upon hitting the floor, an obstacle, or an enemy, they burst into many smaller tears in all directions. Increases tear delay.",https://bindingofisaacrebirth.gamepedia.com/Haemolacria,../assets/images/531.png
Lachryphagy,532,Feed them!,"Isaac's tears decelerate as they travel. Upon stopping or hitting an obstacle, they burst into 8 tears in all directions. Tears can be fired into other tears to feed them, increasing their damage.",https://bindingofisaacrebirth.gamepedia.com/Lachryphagy,../assets/images/532.png
Trisagion,533,Smite thy enemy,Tears are replaced with piercing white blasts of light.,https://bindingofisaacrebirth.gamepedia.com/Trisagion,../assets/images/533.png
Schoolbag,534,Extra active item room,Allows Isaac to hold two active items.,https://bindingofisaacrebirth.gamepedia.com/Schoolbag,../assets/images/534.png
Blanket,535,You feel Safe,"Grants one soul heart. Upon entering a boss room, grants a shield that blocks one hit, then disappears.",https://bindingofisaacrebirth.gamepedia.com/Blanket,../assets/images/535.png
Sacrificial Altar,536,He demands a sacrifice,"Upon use, sacrifices up to 2 familiars and spawns an item from the Devil Room Pool for each familiar sacrificed.",https://bindingofisaacrebirth.gamepedia.com/Sacrificial_Altar,../assets/images/536.png
Lil Spewer,537,Puking buddy,"Spawns a random pill, and grants a small Spewer familiar that charges up and fires different types of creep.",https://bindingofisaacrebirth.gamepedia.com/Lil_Spewer,../assets/images/537.png
Marbles,538,Choking hazard,"Spawns 3 random trinkets. Taking damage has a small chance to swallow Isaac's currently held trinket, gaining its effect permanently.",https://bindingofisaacrebirth.gamepedia.com/Marbles,../assets/images/538.png
Mystery Egg,539,Sacrificial insemination,"Spawns an egg familiar, which cracks and turns into a random friendly enemy when Isaac is hurt. The egg regenerates upon entering a different room.",https://bindingofisaacrebirth.gamepedia.com/Mystery_Egg,../assets/images/539.png
Flat Stone,540,Skipping tears,Tears bounce off the floor. Tears that hit an enemy after bouncing deal splash damage to all nearby enemies for 25% of Isaac's tear damage.,https://bindingofisaacrebirth.gamepedia.com/Flat_Stone,../assets/images/540.png
Marrow,541,HP up?,Grants one bone heart and spawns three red heart pickups.,https://bindingofisaacrebirth.gamepedia.com/Marrow,../assets/images/541.png
Slipped Rib,542,Projectile shield,Spawns a bone familiar that circles around Isaac and reflects enemy shots.,https://bindingofisaacrebirth.gamepedia.com/Slipped_Rib,../assets/images/542.png
Hallowed Ground,543,Portable sanctuary,"Spawns a white poop familiar, which turns into a white poop when Isaac is hurt.",https://bindingofisaacrebirth.gamepedia.com/Hallowed_Ground,../assets/images/543.png
Pointy Rib,544,Stabbing time,Spawns a bone familiar that can be aimed with the fire buttons and does contact damage.,https://bindingofisaacrebirth.gamepedia.com/Pointy_Rib,../assets/images/544.png
Book of the Dead,545,Rise from the grave,"Upon use, spawns a friendly Bony or an orbital bone for each enemy killed in the current room.",https://bindingofisaacrebirth.gamepedia.com/Book_of_the_Dead,../assets/images/545.png
Dad's Ring,546,Father's blessing,Creates a ring of light around Isaac that petrifies enemies in contact.,https://bindingofisaacrebirth.gamepedia.com/Dad%27s_Ring,../assets/images/546.png
Divorce Papers,547,Tears up + you feel empty,"Spawns a Mysterious Paper, increases tears, and grants a bone heart.",https://bindingofisaacrebirth.gamepedia.com/Divorce_Papers,../assets/images/547.png
Jaw Bone,548,Fetch!,"Spawns a familiar that flies the room while firing, dealing a flat 7 damage to enemies that come in contact and retrieving pickups.",https://bindingofisaacrebirth.gamepedia.com/Jaw_Bone,../assets/images/548.png
Brittle Bones,549,Everything hurts,"Replaces all red hearts with 6 empty bone hearts. Upon losing a bone heart, Isaac fires bones in 8 directions and permanently gains a tears up.",https://bindingofisaacrebirth.gamepedia.com/Brittle_Bones,../assets/images/549.png
Broken Shovel,550,It feels cursed,"While held, causes multiple Mom's Foots to come down and stomp on Isaac. One of two parts necessary to create Mom's Shovel.",https://bindingofisaacrebirth.gamepedia.com/Broken_Shovel,../assets/images/550.png
Broken Shovel,551,It feels cursed,One of two parts necessary to create Mom's Shovel.,https://bindingofisaacrebirth.gamepedia.com/Broken_Shovel,../assets/images/551.png
Mom's Shovel,552,Lost but not forgotten,Spawns a trapdoor that leads to the next floor upon activation. Unlocks The Forgotten when used on a mound of dirt that appears in Dark Room.,https://bindingofisaacrebirth.gamepedia.com/Mom%27s_Shovel,../assets/images/552.png
